encode_1_cat,encode_2_cat,operation,probe_type,cue_position,run_num,probe_subtype,replace_cat,trial_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img
places,fruits,maintain,3,right,1,novel,NA,1,3,0,stimuli/images/places/flatiron_building.png,stimuli/images/fruits/whole_pears.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/golden_apple.png
places,faces,suppress,2,right,1,uncued,NA,2,4,0,stimuli/images/places/distant_mountains.png,stimuli/images/faces/penelope_cruz.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/distant_mountains.png
faces,places,suppress,0,left,1,lure,NA,3,4,0,stimuli/images/faces/jj_watt.png,stimuli/images/places/mount_fuji.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/jj_watt.png
places,faces,maintain,3,left,1,novel,NA,4,4,0,stimuli/images/places/unique_mountains.png,stimuli/images/faces/mila_kunis.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/donghai_bridge.png
fruits,places,replace,3,right,1,novel,faces,5,5,0,stimuli/images/fruits/gala_apple_leaf.png,stimuli/images/places/cinderella_castle.png,stimuli/images/faces/angela_merkel.png,stimuli/images/places/light_pink_beach.png
faces,fruits,suppress,1,right,1,uncued,NA,6,5,0,stimuli/images/faces/george_clooney.png,stimuli/images/fruits/green_grapes.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/george_clooney.png
places,fruits,replace,0,left,1,lure,faces,7,3,0,stimuli/images/places/royal_albert_hall.png,stimuli/images/fruits/gala_apple.png,stimuli/images/faces/kobe_bryant.png,stimuli/images/places/royal_albert_hall.png
faces,places,maintain,1,left,1,uncued,NA,8,5,0,stimuli/images/faces/rihanna.png,stimuli/images/places/matterhorn.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/matterhorn.png
faces,fruits,maintain,2,right,1,novel,NA,9,3,0,stimuli/images/faces/ryan_reynolds.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/cut_pears05.png
fruits,places,maintain,1,left,1,uncued,NA,10,5,0,stimuli/images/fruits/watermelon.png,stimuli/images/places/alamo.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/alamo.png
fruits,faces,suppress,2,left,1,uncued,NA,11,4,0,stimuli/images/fruits/honeydew_half.png,stimuli/images/faces/scarlett_johansson.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/scarlett_johansson.png
faces,fruits,replace,0,right,1,lure,places,12,4,0,stimuli/images/faces/alex_rodriguez.png,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/images/places/mediterranean_beach.png,stimuli/images/fruits/canteloupe_sliced04.png
fruits,faces,maintain,0,left,1,cued,NA,13,4,0,stimuli/images/fruits/leaning_pears.png,stimuli/images/faces/zoe_saldana.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/leaning_pears.png
faces,fruits,replace,3,right,1,novel,places,14,5,0,stimuli/images/faces/aaron_rodgers.png,stimuli/images/fruits/mixed_grapes.png,stimuli/images/places/harvard.png,stimuli/images/fruits/apple04.png
fruits,places,replace,2,left,1,uncued,faces,15,3,0,stimuli/images/fruits/fresh_fuji.png,stimuli/images/places/skyway_bridge.png,stimuli/images/faces/rand_paul.png,stimuli/images/places/skyway_bridge.png
