encode_1_cat,encode_2_cat,operation,probe_type,cue_position,run_num,probe_subtype,replace_cat,trial_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img
places,fruits,replace,0,right,1,lure,faces,1,5,0,stimuli/images/places/danyang_bridge.png,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/faces/penelope_cruz.png,stimuli/images/fruits/mixed_grapes05.png
fruits,faces,replace,2,left,1,uncued,places,2,4,0,stimuli/images/fruits/sliced_fuji.png,stimuli/images/faces/blake_shelton.png,stimuli/images/places/royal_albert_hall.png,stimuli/images/faces/blake_shelton.png
fruits,places,suppress,2,left,1,uncued,NA,3,3,0,stimuli/images/fruits/pear05.png,stimuli/images/places/harvard.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/harvard.png
places,faces,maintain,2,right,1,novel,NA,4,4,0,stimuli/images/places/aoraki.png,stimuli/images/faces/mila_kunis.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/paul_ryan.png
fruits,places,replace,1,left,1,replacement,faces,5,5,0,stimuli/images/fruits/whole_pears.png,stimuli/images/places/yellow_sand_beach.png,stimuli/images/faces/aaron_rodgers.png,stimuli/images/faces/aaron_rodgers.png
faces,fruits,suppress,2,left,1,uncued,NA,6,5,0,stimuli/images/faces/jj_watt.png,stimuli/images/fruits/mixed_grapes.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/mixed_grapes.png
fruits,faces,suppress,3,right,1,novel,NA,7,4,0,stimuli/images/fruits/halved_watermelon02.png,stimuli/images/faces/george_clooney.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/sliced_pears.png
places,fruits,maintain,3,right,1,novel,NA,8,3,0,stimuli/images/places/mount_everest.png,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/donghai_bridge.png
faces,places,replace,3,left,1,novel,fruits,9,3,0,stimuli/images/faces/joe_biden.png,stimuli/images/places/mount_fuji.png,stimuli/images/fruits/fresh_fuji.png,stimuli/images/places/long_bridge.png
faces,fruits,maintain,3,left,1,novel,NA,10,4,0,stimuli/images/faces/abby_wambach.png,stimuli/images/fruits/cut_cantaloupe.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/chris_hemsworth.png
faces,places,maintain,2,right,1,novel,NA,11,4,0,stimuli/images/faces/kobe_bryant.png,stimuli/images/places/gherkin.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/tom_hiddleston.png
faces,fruits,replace,1,right,1,replacement,places,12,3,0,stimuli/images/faces/ryan_reynolds.png,stimuli/images/fruits/gala_apple.png,stimuli/images/places/unique_mountains.png,stimuli/images/places/unique_mountains.png
fruits,places,maintain,0,left,1,cued,NA,13,3,0,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/images/places/millau_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/canteloupe_sliced04.png
places,faces,replace,3,left,1,novel,fruits,14,3,0,stimuli/images/places/flatiron_building.png,stimuli/images/faces/angela_merkel.png,stimuli/images/fruits/watermelon.png,stimuli/images/faces/britney_spears.png
places,faces,suppress,1,left,1,uncued,NA,15,4,0,stimuli/images/places/covered_bridge.png,stimuli/images/faces/brad_pitt.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/brad_pitt.png
places,fruits,replace,1,right,1,replacement,faces,16,5,0,stimuli/images/places/glass_bridge.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/images/faces/alex_rodriguez.png,stimuli/images/faces/alex_rodriguez.png
faces,places,suppress,1,left,1,uncued,NA,17,4,0,stimuli/images/faces/rihanna.png,stimuli/images/places/piza.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/piza.png
places,fruits,suppress,2,left,1,uncued,NA,18,3,0,stimuli/images/places/distant_mountains.png,stimuli/images/fruits/green_grapes.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/green_grapes.png
faces,fruits,replace,0,right,1,lure,places,19,4,0,stimuli/images/faces/scarlett_johansson.png,stimuli/images/fruits/leaning_pears.png,stimuli/images/places/matterhorn.png,stimuli/images/fruits/leaning_pears.png
faces,places,suppress,0,right,1,lure,NA,20,5,0,stimuli/images/faces/zoe_saldana.png,stimuli/images/places/alamo.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/alamo.png
fruits,places,maintain,3,left,1,novel,NA,21,5,0,stimuli/images/fruits/mixed_grapes02.png,stimuli/images/places/cinderella_castle.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/golden_gate_bridge.png
places,faces,suppress,0,right,1,lure,NA,22,5,0,stimuli/images/places/mediterranean_beach.png,stimuli/images/faces/lebron.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/lebron.png
fruits,faces,maintain,1,left,1,uncued,NA,23,5,0,stimuli/images/fruits/pear03.png,stimuli/images/faces/rand_paul.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/rand_paul.png
fruits,faces,maintain,0,right,1,cued,NA,24,3,1,stimuli/images/fruits/honeydew_half.png,stimuli/images/faces/macklemore.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/macklemore.png
places,faces,maintain,3,right,2,novel,NA,1,3,0,stimuli/images/places/mount_fuji.png,stimuli/images/faces/george_clooney.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/beautiful_beach.png
