encode_1_cat,encode_2_cat,operation,probe_type,cue_position,run_num,probe_subtype,replace_cat,trial_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img
fruits,places,replace,2,right,1,uncued,faces,1,4,0,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/places/covered_bridge.png,stimuli/images/faces/lebron.png,stimuli/images/fruits/mixed_grapes05.png
places,fruits,replace,2,left,1,uncued,faces,2,5,0,stimuli/images/places/alamo.png,stimuli/images/fruits/mixed_grapes.png,stimuli/images/faces/blake_shelton.png,stimuli/images/fruits/mixed_grapes.png
faces,fruits,suppress,0,right,1,lure,NA,3,5,0,stimuli/images/faces/angela_merkel.png,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/canteloupe_sliced04.png
faces,fruits,maintain,1,left,1,uncued,NA,4,3,0,stimuli/images/faces/aaron_rodgers.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/gala_apple_leaf.png
fruits,faces,suppress,1,left,1,uncued,NA,5,3,0,stimuli/images/fruits/pear03.png,stimuli/images/faces/alex_rodriguez.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/alex_rodriguez.png
fruits,places,replace,1,right,1,replacement,faces,6,4,0,stimuli/images/fruits/cut_cantaloupe.png,stimuli/images/places/yellow_sand_beach.png,stimuli/images/faces/brad_pitt.png,stimuli/images/faces/brad_pitt.png
fruits,faces,suppress,2,left,1,uncued,NA,7,5,0,stimuli/images/fruits/leaning_pears.png,stimuli/images/faces/scarlett_johansson.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/scarlett_johansson.png
fruits,places,suppress,3,left,1,novel,NA,8,3,0,stimuli/images/fruits/fresh_fuji.png,stimuli/images/places/mount_everest.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/eiger.png
places,faces,maintain,3,left,1,novel,NA,9,4,0,stimuli/images/places/unique_mountains.png,stimuli/images/faces/kobe_bryant.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/fort_knox.png
faces,places,maintain,3,left,1,novel,NA,10,3,0,stimuli/images/faces/justin_bieber.png,stimuli/images/places/aoraki.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/usher.png
places,fruits,maintain,0,right,1,cued,NA,11,5,0,stimuli/images/places/gherkin.png,stimuli/images/fruits/whole_pears.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/whole_pears.png
fruits,faces,replace,0,left,1,lure,places,12,3,0,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/images/faces/zoe_saldana.png,stimuli/images/places/matterhorn.png,stimuli/images/fruits/cantaloupe_sliced03.png
fruits,places,maintain,0,right,1,cued,NA,13,4,0,stimuli/images/fruits/green_grapes.png,stimuli/images/places/mediterranean_beach.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/mediterranean_beach.png
faces,places,replace,0,right,1,lure,fruits,14,5,0,stimuli/images/faces/rihanna.png,stimuli/images/places/millau_bridge.png,stimuli/images/fruits/honeydew_half.png,stimuli/images/places/millau_bridge.png
places,faces,replace,0,left,1,lure,fruits,15,4,0,stimuli/images/places/piza.png,stimuli/images/faces/macklemore.png,stimuli/images/fruits/pear05.png,stimuli/images/places/piza.png
faces,places,maintain,2,right,1,novel,NA,16,4,0,stimuli/images/faces/abby_wambach.png,stimuli/images/places/harvard.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/christian_bale.png
places,fruits,suppress,3,left,1,novel,NA,17,3,0,stimuli/images/places/danyang_bridge.png,stimuli/images/fruits/sliced_fuji.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/cn_tower.png
places,fruits,replace,1,right,1,replacement,faces,18,3,0,stimuli/images/places/distant_mountains.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/images/faces/joe_biden.png,stimuli/images/faces/joe_biden.png
fruits,faces,maintain,3,left,1,novel,NA,19,5,0,stimuli/images/fruits/gala_apple.png,stimuli/images/faces/ryan_reynolds.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/cantaloupe.png
places,faces,suppress,1,right,1,uncued,NA,20,5,0,stimuli/images/places/flatiron_building.png,stimuli/images/faces/jj_watt.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/flatiron_building.png
faces,fruits,maintain,2,left,1,novel,NA,21,5,0,stimuli/images/faces/rand_paul.png,stimuli/images/fruits/honeydew_melon02.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/cut_pears04.png
faces,places,suppress,1,left,1,uncued,NA,22,4,0,stimuli/images/faces/george_clooney.png,stimuli/images/places/mount_fuji.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/mount_fuji.png
places,faces,suppress,2,right,1,uncued,NA,23,4,0,stimuli/images/places/cinderella_castle.png,stimuli/images/faces/mila_kunis.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/cinderella_castle.png
faces,fruits,replace,3,right,1,novel,places,24,3,1,stimuli/images/faces/penelope_cruz.png,stimuli/images/fruits/mixed_grapes02.png,stimuli/images/places/skyway_bridge.png,stimuli/images/fruits/muskmelon.png
places,fruits,suppress,1,left,2,uncued,NA,1,4,0,stimuli/images/places/unique_mountains.png,stimuli/images/fruits/honeydew_half.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/honeydew_half.png
faces,fruits,maintain,0,left,2,cued,NA,2,3,0,stimuli/images/faces/penelope_cruz.png,stimuli/images/fruits/pear05.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/penelope_cruz.png
fruits,places,suppress,2,left,2,uncued,NA,3,3,0,stimuli/images/fruits/gala_apple.png,stimuli/images/places/distant_mountains.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/distant_mountains.png
fruits,faces,suppress,0,right,2,lure,NA,4,4,0,stimuli/images/fruits/pear03.png,stimuli/images/faces/blake_shelton.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/blake_shelton.png
fruits,faces,maintain,2,left,2,novel,NA,5,5,0,stimuli/images/fruits/halved_watermelon02.png,stimuli/images/faces/mila_kunis.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/nicki_minaj.png
places,faces,maintain,2,right,2,novel,NA,6,3,0,stimuli/images/places/matterhorn.png,stimuli/images/faces/rihanna.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/sunset_beach.png
places,fruits,suppress,2,right,2,uncued,NA,7,3,0,stimuli/images/places/covered_bridge.png,stimuli/images/fruits/cut_cantaloupe.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/covered_bridge.png
faces,fruits,replace,1,right,2,replacement,places,8,3,0,stimuli/images/faces/george_clooney.png,stimuli/images/fruits/green_grapes.png,stimuli/images/places/yellow_sand_beach.png,stimuli/images/places/yellow_sand_beach.png
fruits,faces,replace,3,left,2,novel,places,9,5,0,stimuli/images/fruits/fresh_fuji.png,stimuli/images/faces/ryan_reynolds.png,stimuli/images/places/danyang_bridge.png,stimuli/images/faces/ariana_grande.png
fruits,places,replace,0,left,2,lure,faces,10,3,0,stimuli/images/fruits/honeydew_melon02.png,stimuli/images/places/mount_everest.png,stimuli/images/faces/kobe_bryant.png,stimuli/images/fruits/honeydew_melon02.png
fruits,places,maintain,3,left,2,novel,NA,11,5,0,stimuli/images/fruits/mixed_grapes02.png,stimuli/images/places/skyway_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/cut_pears.png
places,fruits,maintain,3,left,2,novel,NA,12,5,0,stimuli/images/places/gherkin.png,stimuli/images/fruits/sliced_fuji.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/pink_beach.png
faces,places,suppress,0,right,2,lure,NA,13,4,0,stimuli/images/faces/zoe_saldana.png,stimuli/images/places/alamo.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/alamo.png
faces,fruits,suppress,3,left,2,novel,NA,14,4,0,stimuli/images/faces/abby_wambach.png,stimuli/images/fruits/leaning_pears.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/red_grapes02.png
faces,places,replace,3,left,2,novel,fruits,15,5,0,stimuli/images/faces/lebron.png,stimuli/images/places/harvard.png,stimuli/images/fruits/mixed_grapes.png,stimuli/images/faces/john_kerry.png
