encode_1_cat,encode_2_cat,operation,probe_type,cue_position,run_num,probe_subtype,replace_cat,trial_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img
places,faces,suppress,3,left,1,novel,NA,1,4,0,stimuli/images/places/alamo.png,stimuli/images/faces/zoe_saldana.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/half_dome.png
places,fruits,suppress,0,left,1,lure,NA,2,3,0,stimuli/images/places/distant_mountains.png,stimuli/images/fruits/whole_pears.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/distant_mountains.png
places,faces,maintain,1,left,1,uncued,NA,3,3,0,stimuli/images/places/skyway_bridge.png,stimuli/images/faces/brad_pitt.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/brad_pitt.png
faces,places,maintain,1,right,1,uncued,NA,4,3,0,stimuli/images/faces/george_clooney.png,stimuli/images/places/piza.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/george_clooney.png
places,fruits,maintain,2,right,1,novel,NA,5,5,0,stimuli/images/places/gherkin.png,stimuli/images/fruits/leaning_pears.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/black_grapes02.png
faces,fruits,replace,1,right,1,replacement,places,6,4,0,stimuli/images/faces/abby_wambach.png,stimuli/images/fruits/gala_apple.png,stimuli/images/places/flatiron_building.png,stimuli/images/places/flatiron_building.png
places,faces,maintain,0,left,1,cued,NA,7,5,0,stimuli/images/places/royal_albert_hall.png,stimuli/images/faces/angela_merkel.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/royal_albert_hall.png
faces,places,suppress,3,right,1,novel,NA,8,3,0,stimuli/images/faces/mila_kunis.png,stimuli/images/places/cinderella_castle.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/adam_levine.png
fruits,places,suppress,1,left,1,uncued,NA,9,5,0,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/images/places/harvard.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/harvard.png
fruits,faces,replace,2,left,1,uncued,places,10,4,0,stimuli/images/fruits/gala_apple_leaf.png,stimuli/images/faces/macklemore.png,stimuli/images/places/matterhorn.png,stimuli/images/faces/macklemore.png
fruits,faces,maintain,1,left,1,uncued,NA,11,4,0,stimuli/images/fruits/honeydew_half.png,stimuli/images/faces/ryan_reynolds.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/ryan_reynolds.png
places,fruits,replace,3,right,1,novel,faces,12,5,0,stimuli/images/places/mount_everest.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/images/faces/kobe_bryant.png,stimuli/images/places/castle.png
faces,fruits,suppress,2,right,1,uncued,NA,13,5,0,stimuli/images/faces/joe_biden.png,stimuli/images/fruits/honeydew_melon02.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/joe_biden.png
fruits,places,replace,0,right,1,lure,faces,14,4,0,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/images/places/aoraki.png,stimuli/images/faces/blake_shelton.png,stimuli/images/places/aoraki.png
faces,places,maintain,0,right,1,cued,NA,15,5,0,stimuli/images/faces/justin_bieber.png,stimuli/images/places/unique_mountains.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/unique_mountains.png
faces,fruits,maintain,3,right,1,novel,NA,16,5,0,stimuli/images/faces/rihanna.png,stimuli/images/fruits/fresh_fuji.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/apple03b.png
fruits,faces,suppress,3,left,1,novel,NA,17,4,0,stimuli/images/fruits/sliced_fuji.png,stimuli/images/faces/lebron.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/sliced_watermelon02.png
fruits,places,replace,3,left,1,novel,faces,18,3,0,stimuli/images/fruits/pear05.png,stimuli/images/places/millau_bridge.png,stimuli/images/faces/penelope_cruz.png,stimuli/images/fruits/muskmelon.png
places,fruits,suppress,1,left,1,uncued,NA,19,5,0,stimuli/images/places/mount_fuji.png,stimuli/images/fruits/mixed_grapes02.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/mixed_grapes02.png
places,faces,replace,2,left,1,uncued,fruits,20,4,0,stimuli/images/places/mediterranean_beach.png,stimuli/images/faces/aaron_rodgers.png,stimuli/images/fruits/mixed_grapes.png,stimuli/images/faces/aaron_rodgers.png
faces,places,replace,2,right,1,uncued,fruits,21,4,0,stimuli/images/faces/alex_rodriguez.png,stimuli/images/places/glass_bridge.png,stimuli/images/fruits/mixed_grapes03.png,stimuli/images/faces/alex_rodriguez.png
fruits,faces,suppress,0,left,1,lure,NA,22,3,0,stimuli/images/fruits/pear03.png,stimuli/images/faces/rand_paul.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/pear03.png
faces,fruits,replace,0,left,1,lure,places,23,3,0,stimuli/images/faces/scarlett_johansson.png,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/places/covered_bridge.png,stimuli/images/faces/scarlett_johansson.png
fruits,places,maintain,2,right,1,novel,NA,24,3,1,stimuli/images/fruits/green_grapes.png,stimuli/images/places/danyang_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/meijigallery_tokyo.png
fruits,faces,suppress,2,right,2,uncued,NA,1,5,0,stimuli/images/fruits/leaning_pears.png,stimuli/images/faces/kobe_bryant.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/leaning_pears.png
faces,places,maintain,3,right,2,novel,NA,2,3,0,stimuli/images/faces/lebron.png,stimuli/images/places/gherkin.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/michele_bachmann.png
fruits,places,replace,2,right,2,uncued,faces,3,4,0,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/images/places/cinderella_castle.png,stimuli/images/faces/rihanna.png,stimuli/images/fruits/cantaloupe_sliced03.png
faces,places,replace,1,left,2,replacement,fruits,4,5,0,stimuli/images/faces/justin_bieber.png,stimuli/images/places/mount_fuji.png,stimuli/images/fruits/honeydew_half.png,stimuli/images/fruits/honeydew_half.png
faces,places,replace,0,right,2,lure,fruits,5,3,0,stimuli/images/faces/angela_merkel.png,stimuli/images/places/covered_bridge.png,stimuli/images/fruits/whole_pears.png,stimuli/images/places/covered_bridge.png
faces,fruits,suppress,1,left,2,uncued,NA,6,5,0,stimuli/images/faces/blake_shelton.png,stimuli/images/fruits/mixed_grapes05.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/mixed_grapes05.png
