encode_1_cat,encode_2_cat,operation,probe_type,cue_position,run_num,probe_subtype,replace_cat,trial_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img
fruits,places,suppress,0,right,1,lure,NA,1,3,0,stimuli/images/fruits/whole_pears.png,stimuli/images/places/danyang_bridge.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/danyang_bridge.png
faces,fruits,suppress,2,right,1,uncued,NA,2,3,0,stimuli/images/faces/brad_pitt.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/brad_pitt.png
fruits,faces,suppress,3,left,1,novel,NA,3,5,0,stimuli/images/fruits/leaning_pears.png,stimuli/images/faces/kobe_bryant.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/john_kerry.png
fruits,places,maintain,2,left,1,novel,NA,4,4,0,stimuli/images/fruits/gala_apple.png,stimuli/images/places/millau_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/light_pink_beach.png
faces,fruits,replace,0,left,1,lure,places,5,5,0,stimuli/images/faces/scarlett_johansson.png,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/places/gherkin.png,stimuli/images/faces/scarlett_johansson.png
fruits,faces,maintain,0,right,1,cued,NA,6,4,0,stimuli/images/fruits/cut_cantaloupe.png,stimuli/images/faces/rand_paul.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/rand_paul.png
places,fruits,maintain,3,left,1,novel,NA,7,5,0,stimuli/images/places/cinderella_castle.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/pear02.png
places,faces,suppress,3,right,1,novel,NA,8,5,0,stimuli/images/places/mount_fuji.png,stimuli/images/faces/penelope_cruz.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/leonardo_dicaprio.png
places,fruits,suppress,2,left,1,uncued,NA,9,4,0,stimuli/images/places/harvard.png,stimuli/images/fruits/honeydew_melon02.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/honeydew_melon02.png
fruits,faces,maintain,1,left,1,uncued,NA,10,3,0,stimuli/images/fruits/honeydew_half.png,stimuli/images/faces/joe_biden.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/joe_biden.png
places,faces,replace,2,left,1,uncued,fruits,11,4,0,stimuli/images/places/distant_mountains.png,stimuli/images/faces/angela_merkel.png,stimuli/images/fruits/mixed_grapes03.png,stimuli/images/faces/angela_merkel.png
fruits,faces,replace,2,left,1,uncued,places,12,3,0,stimuli/images/fruits/fresh_fuji.png,stimuli/images/faces/rihanna.png,stimuli/images/places/glass_bridge.png,stimuli/images/faces/rihanna.png
places,fruits,replace,0,right,1,lure,faces,13,3,0,stimuli/images/places/royal_albert_hall.png,stimuli/images/fruits/mixed_grapes.png,stimuli/images/faces/justin_bieber.png,stimuli/images/fruits/mixed_grapes.png
faces,fruits,suppress,1,right,1,uncued,NA,14,3,0,stimuli/images/faces/aaron_rodgers.png,stimuli/images/fruits/mixed_grapes02.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/aaron_rodgers.png
faces,places,suppress,0,left,1,lure,NA,15,3,0,stimuli/images/faces/ryan_reynolds.png,stimuli/images/places/aoraki.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/ryan_reynolds.png
fruits,places,replace,3,left,1,novel,faces,16,4,0,stimuli/images/fruits/watermelon.png,stimuli/images/places/matterhorn.png,stimuli/images/faces/jj_watt.png,stimuli/images/fruits/sliced_pears.png
faces,places,maintain,2,left,1,novel,NA,17,5,0,stimuli/images/faces/zoe_saldana.png,stimuli/images/places/mount_everest.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/meijigallery_tokyo.png
places,fruits,replace,1,right,1,replacement,faces,18,3,0,stimuli/images/places/flatiron_building.png,stimuli/images/fruits/pear05.png,stimuli/images/faces/george_clooney.png,stimuli/images/faces/george_clooney.png
fruits,places,suppress,1,right,1,uncued,NA,19,5,0,stimuli/images/fruits/pear03.png,stimuli/images/places/unique_mountains.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/pear03.png
faces,places,replace,3,right,1,novel,fruits,20,4,0,stimuli/images/faces/macklemore.png,stimuli/images/places/yellow_sand_beach.png,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/images/places/fort_knox.png
places,faces,replace,1,left,1,replacement,fruits,21,5,0,stimuli/images/places/piza.png,stimuli/images/faces/mila_kunis.png,stimuli/images/fruits/sliced_fuji.png,stimuli/images/fruits/sliced_fuji.png
faces,fruits,maintain,3,right,1,novel,NA,22,4,0,stimuli/images/faces/blake_shelton.png,stimuli/images/fruits/green_grapes.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/sliced_pears02.png
faces,places,maintain,1,right,1,uncued,NA,23,4,0,stimuli/images/faces/lebron.png,stimuli/images/places/alamo.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/lebron.png
places,faces,maintain,0,right,1,cued,NA,24,5,1,stimuli/images/places/covered_bridge.png,stimuli/images/faces/abby_wambach.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/abby_wambach.png
faces,fruits,maintain,2,right,2,novel,NA,1,5,0,stimuli/images/faces/kobe_bryant.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/david_beckham.png
faces,places,maintain,0,right,2,cued,NA,2,5,0,stimuli/images/faces/macklemore.png,stimuli/images/places/flatiron_building.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/flatiron_building.png
fruits,places,suppress,3,right,2,novel,NA,3,5,0,stimuli/images/fruits/honeydew_half.png,stimuli/images/places/glass_bridge.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/california_beach.png
