encode_1_cat,encode_2_cat,operation,probe_type,cue_position,run_num,probe_subtype,replace_cat,trial_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img
fruits,places,suppress,3,left,1,novel,NA,1,3,0,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/places/skyway_bridge.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/ripple_beach.png
places,fruits,replace,2,right,1,uncued,faces,2,4,0,stimuli/images/places/unique_mountains.png,stimuli/images/fruits/sliced_fuji.png,stimuli/images/faces/penelope_cruz.png,stimuli/images/places/unique_mountains.png
faces,places,replace,0,left,1,lure,fruits,3,3,0,stimuli/images/faces/george_clooney.png,stimuli/images/places/piza.png,stimuli/images/fruits/mixed_grapes.png,stimuli/images/faces/george_clooney.png
faces,fruits,replace,1,left,1,replacement,places,4,4,0,stimuli/images/faces/scarlett_johansson.png,stimuli/images/fruits/pear05.png,stimuli/images/places/millau_bridge.png,stimuli/images/places/millau_bridge.png
fruits,faces,maintain,2,right,1,novel,NA,5,3,0,stimuli/images/fruits/green_grapes.png,stimuli/images/faces/alex_rodriguez.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/olivia_wilde.png
places,faces,suppress,2,left,1,uncued,NA,6,3,0,stimuli/images/places/alamo.png,stimuli/images/faces/aaron_rodgers.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/aaron_rodgers.png
places,fruits,maintain,0,right,1,cued,NA,7,3,0,stimuli/images/places/distant_mountains.png,stimuli/images/fruits/mixed_grapes03.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/mixed_grapes03.png
places,fruits,suppress,3,right,1,novel,NA,8,4,0,stimuli/images/places/mount_fuji.png,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/red_grapes07.png
places,faces,maintain,3,left,1,novel,NA,9,3,0,stimuli/images/places/yellow_sand_beach.png,stimuli/images/faces/justin_bieber.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/lindsey_vonn.png
faces,fruits,maintain,0,right,1,cued,NA,10,4,0,stimuli/images/faces/jj_watt.png,stimuli/images/fruits/honeydew_half.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/honeydew_half.png
places,fruits,replace,1,left,1,replacement,faces,11,5,0,stimuli/images/places/mount_everest.png,stimuli/images/fruits/gala_apple.png,stimuli/images/faces/lebron.png,stimuli/images/faces/lebron.png
faces,places,suppress,1,left,1,uncued,NA,12,3,0,stimuli/images/faces/macklemore.png,stimuli/images/places/gherkin.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/gherkin.png
fruits,faces,replace,3,left,1,novel,places,13,5,0,stimuli/images/fruits/leaning_pears.png,stimuli/images/faces/ryan_reynolds.png,stimuli/images/places/mediterranean_beach.png,stimuli/images/faces/miranda_lambert.png
places,faces,suppress,1,right,1,uncued,NA,14,5,0,stimuli/images/places/glass_bridge.png,stimuli/images/faces/rand_paul.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/glass_bridge.png
fruits,places,maintain,1,left,1,uncued,NA,15,3,0,stimuli/images/fruits/watermelon.png,stimuli/images/places/harvard.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/harvard.png
fruits,places,maintain,0,right,1,cued,NA,16,5,0,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/images/places/flatiron_building.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/flatiron_building.png
fruits,faces,suppress,0,left,1,lure,NA,17,5,0,stimuli/images/fruits/pear03.png,stimuli/images/faces/angela_merkel.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/pear03.png
faces,places,maintain,3,left,1,novel,NA,18,4,0,stimuli/images/faces/blake_shelton.png,stimuli/images/places/aoraki.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/360_bridge.png
fruits,places,replace,2,left,1,uncued,faces,19,5,0,stimuli/images/fruits/fresh_fuji.png,stimuli/images/places/royal_albert_hall.png,stimuli/images/faces/mila_kunis.png,stimuli/images/places/royal_albert_hall.png
fruits,faces,maintain,1,left,1,uncued,NA,20,4,0,stimuli/images/fruits/whole_pears.png,stimuli/images/faces/abby_wambach.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/abby_wambach.png
places,faces,replace,0,left,1,lure,fruits,21,4,0,stimuli/images/places/cinderella_castle.png,stimuli/images/faces/rihanna.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/images/places/cinderella_castle.png
faces,places,suppress,2,left,1,uncued,NA,22,5,0,stimuli/images/faces/brad_pitt.png,stimuli/images/places/covered_bridge.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/covered_bridge.png
faces,fruits,suppress,3,left,1,novel,NA,23,5,0,stimuli/images/faces/zoe_saldana.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/bruno_mars.png
faces,fruits,replace,2,right,1,uncued,places,24,4,1,stimuli/images/faces/joe_biden.png,stimuli/images/fruits/cut_cantaloupe.png,stimuli/images/places/danyang_bridge.png,stimuli/images/faces/joe_biden.png
faces,fruits,suppress,2,right,2,uncued,NA,1,4,0,stimuli/images/faces/rand_paul.png,stimuli/images/fruits/gala_apple.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/rand_paul.png
places,fruits,suppress,2,left,2,uncued,NA,2,3,0,stimuli/images/places/mediterranean_beach.png,stimuli/images/fruits/watermelon.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/watermelon.png
faces,fruits,maintain,3,left,2,novel,NA,3,4,0,stimuli/images/faces/rihanna.png,stimuli/images/fruits/sliced_fuji.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/apple01 2.png
faces,places,suppress,0,left,2,lure,NA,4,3,0,stimuli/images/faces/jj_watt.png,stimuli/images/places/piza.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/jj_watt.png
places,faces,maintain,1,left,2,uncued,NA,5,5,0,stimuli/images/places/mount_everest.png,stimuli/images/faces/zoe_saldana.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/zoe_saldana.png
faces,fruits,suppress,1,right,2,uncued,NA,6,3,0,stimuli/images/faces/blake_shelton.png,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/blake_shelton.png
places,fruits,maintain,3,right,2,novel,NA,7,3,0,stimuli/images/places/mount_fuji.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/red_grapes03.png
places,fruits,replace,0,right,2,lure,faces,8,3,0,stimuli/images/places/distant_mountains.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/images/faces/alex_rodriguez.png,stimuli/images/fruits/gala_apple_leaf.png
fruits,places,suppress,2,left,2,uncued,NA,9,5,0,stimuli/images/fruits/pear05.png,stimuli/images/places/danyang_bridge.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/danyang_bridge.png
fruits,faces,replace,1,left,2,replacement,places,10,3,0,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/images/faces/macklemore.png,stimuli/images/places/skyway_bridge.png,stimuli/images/places/skyway_bridge.png
fruits,faces,replace,2,right,2,uncued,places,11,3,0,stimuli/images/fruits/leaning_pears.png,stimuli/images/faces/penelope_cruz.png,stimuli/images/places/aoraki.png,stimuli/images/fruits/leaning_pears.png
